,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,Global_Score
40323,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190627_110000.WAV,GRABADOR-SDZG-AM-25,20190627_110000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:00:00 27/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.1V.,AudioMoth 24E144035BA455E9,2019:12:08 18:12:48-08:00,WAV,WAV,audio/x-wav,0.9874180555
1998,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190630_115000.WAV,GRABADOR-SDZG-AM-1,20190630_115000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:50:00 30/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.9V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:15:50-08:00,WAV,WAV,audio/x-wav,0.9931541681
35722,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190621_115000.WAV,GRABADOR-SDZG-AM-24,20190621_115000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:50:00 21/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F075C79FAFC,2019:12:09 03:46:32-08:00,WAV,WAV,audio/x-wav,0.9116220474
46175,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190621_111000.WAV,GRABADOR-SDZG-AM-27,20190621_111000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:10:00 21/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F075C79F65E,2019:12:18 12:36:10-08:00,WAV,WAV,audio/x-wav,0.9860354662
40473,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190628_120000.WAV,GRABADOR-SDZG-AM-25,20190628_120000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:00:00 28/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.0V.,AudioMoth 24E144035BA455E9,2019:12:08 18:25:39-08:00,WAV,WAV,audio/x-wav,0.9741691351
58818,AM-30,248C7D075B2BF656,GRABADOR-SDZG-AM-30/20190707_124000.WAV,GRABADOR-SDZG-AM-30,20190707_124000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:40:00 07/07/2019 (UTC) by AudioMoth 248C7D075B2BF656 at gain setting 2 while battery state was 3.6V.,AudioMoth 248C7D075B2BF656,2019:12:18 15:56:57-08:00,WAV,WAV,audio/x-wav,0.9875596166
47049,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190627_125000.WAV,GRABADOR-SDZG-AM-27,20190627_125000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:50:00 27/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F075C79F65E,2019:12:18 13:03:28-08:00,WAV,WAV,audio/x-wav,0.8416996598
36733,AM-24,243B1F075C79FAFC,GRABADOR-SDZG-AM-24/20190628_122000.WAV,GRABADOR-SDZG-AM-24,20190628_122000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:20:00 28/06/2019 (UTC) by AudioMoth 243B1F075C79FAFC at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F075C79FAFC,2019:12:09 05:13:40-08:00,WAV,WAV,audio/x-wav,0.9939712286
41339,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190704_122000.WAV,GRABADOR-SDZG-AM-25,20190704_122000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:20:00 04/07/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 3.6V.,AudioMoth 24E144035BA455E9,2019:12:08 19:40:22-08:00,WAV,WAV,audio/x-wav,0.9869511127
67647,AM-6,2466C2065B2BF148,GRABADOR-SDZG-AM-6/20190620_124000.WAV,GRABADOR-SDZG-AM-6,20190620_124000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:40:00 20/06/2019 (UTC) by AudioMoth 2466C2065B2BF148 at gain setting 2 while battery state was 4.2V.,AudioMoth 2466C2065B2BF148,2019:12:10 10:47:37-08:00,WAV,WAV,audio/x-wav,0.8678168058
